Ntexto,Palabra,Polaridad
5,bartender,positive
5,676,positive
5,day,positive
5,waiter,positive
5,676,positive
5,concierge,positive
5,amazing,positive
5,never,positive
5,waited,positive
5,30,positive
5,seconds,positive
5,anything,positive
5,room,positive
5,comfy,positive
5,amenities,positive
5,superior,positive
5,one,positive
5,tiny,positive
5,complaint,positive
5,wastebasket,positive
5,near,positive
5,sink,positive
5,near,positive
5,wet,positive
5,bar,positive
5,walk,positive
5,end,positive
5,bathroom,positive
5,sitting,positive
5,room,positive
5,dispose,positive
5,kleenex,positive
5,coffee,positive
5,paraphernalia,positive
5,one,positive
5,wastebasket,positive
5,would,positive
5,make,positive
5,difference,positive
5,said,positive
5,great,positive
5,hotel,positive
5,thanks,positive
5,omni,positive
5,great,positive
5,stay,positive
6,stayed,positive
6,conrad,positive
6,4,positive
6,nights,positive
6,thanksgiving,positive
6,corner,positive
6,room,positive
6,overlooking,positive
6,n,positive
6,michigan,positive
6,av,positive
6,tribune,positive
6,building,positive
6,say,positive
6,5,positive
6,star,positive
6,hotel,positive
6,damn,positive
6,place,positive
6,faint,positive
6,praise,positive
6,wonderful,positive
6,staff,positive
6,unbelievably,positive
6,helpful,positive
6,standard,positive
6,room,positive
6,superb,positive
6,hd,positive
6,plasma,positive
6,screens,positive
6,luxury,positive
6,bedlinens,positive
6,ipod,positive
6,radio,positive
6,huge,positive
6,bathroom,positive
6,location,positive
6,unbeatable,positive
6,right,positive
6,heart,positive
6,everything,positive
6,watched,positive
6,whole,positive
6,light,positive
6,festival,positive
6,parade,positive
6,window,positive
6,breakfasts,positive
6,excellent,positive
6,help,positive
6,buffet,positive
6,full,positive
6,attentive,positive
6,table,positive
6,service,positive
6,would,positive
6,hesitation,positive
6,recommending,positive
6,staying,positive
6,hotel,positive
6,5,positive
6,5,positive
7,got,positive
7,back,positive
7,2,positive
7,days,positive
7,chicago,positive
7,shopping,positive
7,girlfriends,positive
7,first,positive
7,time,positive
7,stayed,positive
7,omni,positive
7,saw,positive
7,129,positive
7,00,positive
7,rate,positive
7,included,positive
7,25,positive
7,00,positive
7,free,positive
7,food,positive
7,travelzoo,positive
7,three,positive
7,us,positive
7,55,positive
7,year,positive
7,olds,positive
7,stayed,positive
7,one,positive
7,suite,positive
7,2,positive
7,double,positive
7,beds,positive
7,comfortable,positive
7,pull,positive
7,sofa,positive
7,plenty,positive
7,room,positive
7,food,positive
7,restaurant,positive
7,great,positive
7,service,positive
7,outstanding,positive
7,everone,positive
7,came,positive
7,contact,positive
7,early,positive
7,morning,positive
7,delivery,positive
7,free,positive
7,coffee,positive
7,juice,positive
7,hot,positive
7,chocolate,positive
7,fabulous,positive
7,recommendations,positive
7,staff,positive
7,eat,positive
7,time,positive
7,movies,positive
7,shopping,positive
7,areas,positive
7,etc,positive
7,really,positive
7,helpful,positive
7,need,positive
7,mention,positive
7,outstanding,positive
7,location,positive
7,simply,positive
7,best,positive
7,decided,positive
7,omni,positive
7,new,positive
7,favorite,positive
7,hotel,positive
8,arrived,positive
8,omni,positive
8,2nd,positive
8,september,positive
8,6,positive
8,day,positive
8,stay,positive
8,took,positive
8,ill,positive
8,left,positive
8,plane,positive
8,travelling,positive
8,manchester,positive
8,saw,positive
8,room,positive
8,anticipated,positive
8,go,positive
8,4,positive
8,days,positive
8,room,positive
8,spacious,positive
8,clean,positive
8,bed,positive
8,extremely,positive
8,comfortable,positive
8,bathroom,positive
8,large,positive
8,clean,positive
8,could,positive
8,ask,positive
8,coffee,positive
8,juice,positive
8,left,positive
8,outside,positive
8,door,positive
8,every,positive
8,morning,positive
8,time,positive
8,requested,positive
8,managed,positive
8,go,positive
8,5th,positive
8,floor,positive
8,see,positive
8,sun,positive
8,terrace,positive
8,outside,positive
8,gym,positive
8,sun,positive
8,terrace,positive
8,city,positive
8,hotel,positive
8,great,positive
8,idea,positive
8,terrace,positive
8,bit,positive
8,grim,positive
8,sunbeds,positive
8,concrete,positive
8,floor,positive
8,also,positive
8,noise,positive
8,air,positive
8,conditioning,positive
8,unit,positive
8,could,positive
8,bit,positive
8,cheering,positive
8,saw,positive
8,chicago,positive
8,pleasing,positive
8,something,positive
8,everyone,positive
8,would,positive
8,go,positive
8,back,positive
8,omni,positive
8,yes,positive
8,would,positive
9,visit,positive
9,chicago,positive
9,chose,positive
9,hyatt,positive
9,due,positive
9,location,positive
9,downtown,positive
9,within,positive
9,walking,positive
9,distance,positive
9,major,positive
9,attractions,positive
9,sears,positive
9,tower,positive
9,magnificent,positive
9,mile,positive
9,grant,positive
9,millenium,positive
9,parks,positive
9,etc,positive
9,subway,positive
9,bus,positive
9,stops,positive
9,close,positive
9,travel,positive
9,locations,positive
9,city,positive
9,overall,positive
9,hotel,positive
9,nice,positive
9,clean,positive
9,great,positive
9,location,positive
9,safe,positive
9,area,positive
9,went,positive
9,beautiful,positive
9,wrigley,positive
9,field,positive
9,soldier,positive
9,field,positive
9,saw,positive
9,teams,positive
9,play,positive
9,love,positive
9,chicago,positive
9,would,positive
9,defenitely,positive
9,stay,positive
10,stayed,positive
10,fairmont,positive
10,chicago,positive
10,one,positive
10,night,positive
10,frequent,positive
10,business,positive
10,traveler,positive
10,familiar,positive
10,travel,positive
10,rituals,positive
10,checked,positive
10,late,positive
10,almost,positive
10,10pm,positive
10,due,positive
10,flight,positive
10,cancellations,positive
10,home,positive
10,airport,positive
10,atlanta,positive
10,took,positive
10,shuttle,positive
10,airport,positive
10,best,positive
10,option,positive
10,lieu,positive
10,priced,positive
10,taxis,positive
10,first,positive
10,time,positive
10,staying,positive
10,hotel,positive
10,upon,positive
10,arrival,positive
10,immediately,positive
10,noticed,positive
10,entrance,positive
10,appeared,positive
10,welcoming,positive
10,warm,positive
10,checked,positive
10,problems,positive
10,desk,positive
10,person,positive
10,even,positive
10,asked,positive
10,prefer,positive
10,king,positive
10,double,positive
10,reconfirming,positive
10,reservation,positive
10,preference,positive
10,always,positive
10,take,positive
10,king,positive
10,bed,positive
10,fantastic,positive
10,suited,positive
10,great,positive
10,linen,positive
10,incredible,positive
10,feather,positive
10,pillows,positive
10,named,positive
10,encompass,positive
10,made,positive
10,pillow,positive
10,factory,positive
10,checked,positive
10,tags,positive
10,since,positive
10,plan,positive
10,buy,positive
10,ate,positive
10,dinner,positive
10,hotel,positive
10,restaurant,positive
10,aria,positive
10,mention,positive
10,like,positive
10,considered,positive
10,separate,positive
10,hotel,positive
10,yes,positive
10,stand,positive
10,food,positive
10,asian,positive
10,fusion,positive
10,truly,positive
10,wonderful,positive
10,gourmand,positive
10,life,positive
10,long,positive
10,foodie,positive
10,appreciate,positive
10,great,positive
10,food,positive
10,taste,positive
10,hotel,positive
10,service,positive
10,good,positive
10,well,positive
10,drawback,positive
10,breakfast,positive
10,buffet,positive
10,restaurant,positive
10,seems,positive
10,need,positive
10,stick,positive
10,dinner,positive
10,theme,positive
10,solely,positive
10,missed,positive
10,mark,positive
10,relatively,positive
10,simply,positive
10,things,positive
10,like,positive
10,scrambled,positive
10,eggs,positive
10,buffet,positive
10,tasted,positive
10,bit,positive
10,metallic,positive
10,made,positive
10,getting,positive
10,special,positive
10,order,positive
10,made,positive
10,immediately,positive
10,passed,positive
10,buffet,positive
10,would,positive
10,highly,positive
10,recommend,positive
10,hotel,positive
10,atmosphere,positive
10,great,positive
10,view,positive
10,get,positive
10,room,positive
10,one,positive
10,fabulous,positive
10,dinner,positive
10,pass,positive
10,breakfast,positive
10,buffet,positive
11,ok,positive
11,first,positive
11,trip,positive
11,chicago,positive
11,litlle,positive
11,worried,positive
11,hotel,positive
11,location,positive
11,finally,positive
11,decided,positive
11,conrad,positive
11,wath,positive
11,good,positive
11,experience,positive
11,booked,positive
11,king,positive
11,deluxe,positive
11,room,positive
11,6th,positive
11,floor,positive
11,view,positive
11,amazing,positive
11,coplaint,positive
11,could,positive
11,room,positive
11,nice,positive
11,bath,positive
11,appliances,positive
11,good,positive
11,size,positive
11,good,positive
11,plasma,positive
11,tv,positive
11,free,positive
11,internet,positive
11,asked,positive
11,one,positive
11,day,positive
11,breaksfast,positive
11,amazing,positive
11,food,positive
11,overall,positive
11,price,positive
11,aroufn,positive
11,220,positive
11,great,positive
11,surprise,positive
11,locating,positive
11,good,positive
11,blocks,positive
11,everything,positive
11,quiet,positive
11,hotel,positive
12,arrived,positive
12,10,positive
12,30,positive
12,friday,positive
12,room,positive
12,ready,positive
12,us,positive
12,11,positive
12,30,positive
12,mind,positive
12,check,positive
12,3,positive
12,00pm,positive
12,got,positive
12,room,positive
12,priceline,positive
12,65,positive
12,00,positive
12,per,positive
12,night,positive
12,stayed,positive
12,3,positive
12,nights,positive
12,upgraded,positive
12,free,positive
12,suite,positive
12,think,positive
12,blown,positive
12,away,positive
12,forgot,positive
12,thank,positive
12,check,positive
12,room,positive
12,fantastic,positive
12,also,positive
12,wet,positive
12,bar,positive
12,fridge,positive
12,bathroom,positive
12,quite,positive
12,large,positive
12,nice,positive
12,sized,positive
12,closet,positive
12,many,positive
12,hangers,positive
12,knew,positive
12,previous,positive
12,reviews,positive
12,touch,positive
12,mini,positive
12,bar,positive
12,bed,positive
12,pillows,positive
12,comfortable,positive
12,room,positive
12,clean,positive
12,every,positive
12,employee,positive
12,went,positive
12,way,positive
12,friendly,positive
12,helpful,positive
12,stayed,positive
12,25th,positive
12,floor,positive
12,east,positive
12,tower,positive
12,quiet,positive
12,room,positive
12,yes,positive
12,could,positive
12,hear,positive
12,people,positive
12,hallways,positive
12,rude,positive
12,yelling,positive
12,children,positive
12,adults,positive
12,know,positive
12,everyone,positive
12,complains,positive
12,48,positive
12,parking,positive
12,chicago,positive
12,every,positive
12,hotel,positive
12,saw,positive
12,charged,positive
12,much,positive
12,without,positive
12,privledges,positive
12,use,positive
12,restaurants,positive
12,health,positive
12,club,positive
12,tried,positive
12,eat,positive
12,corner,positive
12,bakery,positive
12,crowded,positive
12,breakfast,positive
12,nearby,positive
12,houlihan,positive
12,buffet,positive
12,9,positive
12,99,positive
12,per,positive
12,person,positive
12,also,positive
12,grocery,positive
12,store,positive
12,behind,positive
12,hotel,positive
12,great,positive
12,7,positive
12,11,positive
12,far,positive
12,away,positive
12,know,positive
12,many,positive
12,bad,positive
12,reviews,positive
12,hotel,positive
12,yes,positive
12,big,positive
12,hotel,positive
12,want,positive
12,busy,positive
12,lobby,positive
12,stay,positive
12,2,positive
12,000,positive
12,plus,positive
12,room,positive
12,hotel,positive
12,loved,positive
12,hotel,positive
12,would,positive
12,recommend,positive
12,anyone,positive
12,one,positive
12,problem,positive
12,busy,positive
12,would,positive
12,stay,positive
12,heartbeat,positive
13,wife,positive
13,came,positive
13,spend,positive
13,weekend,positive
13,downtown,positive
13,chicago,positive
13,shopping,positive
13,found,positive
13,conrad,positive
13,hotel,positive
13,well,positive
13,located,positive
13,close,positive
13,everything,positive
13,downtown,positive
13,size,positive
13,make,positive
13,feel,positive
13,lost,positive
13,convention,positive
13,world,positive
13,feeling,positive
13,staying,positive
13,larger,positive
13,hotels,positive
13,past,positive
13,suite,positive
13,view,positive
13,michigan,positive
13,avenue,positive
13,bit,positive
13,lake,positive
13,end,positive
13,staff,positive
13,professional,positive
13,pleasant,positive
13,friendly,positive
13,making,positive
13,us,positive
13,feel,positive
13,comfortable,positive
13,internet,positive
13,free,positive
13,n,positive
13,rooms,positive
13,making,positive
13,review,positive
14,got,positive
14,sunday,positive
14,night,positive
14,stay,positive
14,50,positive
14,priceline,positive
14,com,positive
14,would,positive
14,hard,positive
14,complain,positive
14,truly,positive
14,great,positive
14,hotel,positive
14,even,positive
14,paid,positive
14,double,positive
14,first,positive
14,impression,positive
14,get,positive
14,walk,positive
14,sliding,positive
14,doors,positive
14,hyatt,positive
14,regency,positive
14,chicago,positive
14,wow,positive
14,lobby,positive
14,beautiful,positive
14,upscale,positive
14,mall,positive
14,type,positive
14,look,positive
14,open,positive
14,area,positive
14,restaurant,positive
14,plenty,positive
14,couches,positive
14,seats,positive
14,etc,positive
14,people,positive
14,watch,positive
14,lake,positive
14,water,positive
14,fountains,positive
14,take,positive
14,escalator,positive
14,concierge,positive
14,directory,positive
14,check,positive
14,area,positive
14,hotel,positive
14,let,positive
14,check,positive
14,12pm,positive
14,3pm,positive
14,check,positive
14,time,positive
14,suggest,positive
14,call,positive
14,ahead,positive
14,like,positive
14,know,positive
14,coming,positive
14,early,positive
14,women,positive
14,desk,positive
14,friendly,positive
14,requested,positive
14,higher,positive
14,level,positive
14,floor,positive
14,happy,positive
14,look,positive
14,even,positive
14,told,positive
14,room,positive
14,18th,positive
14,floor,positive
14,veiw,positive
14,river,positive
14,go,positive
14,higher,positive
14,view,positive
14,thought,positive
14,pretty,positive
14,nice,positive
14,give,positive
14,information,positive
14,wouldnt,positive
14,get,positive
14,stuck,positive
14,room,positive
14,view,positive
14,wall,positive
14,rooms,positive
14,big,positive
14,doubles,positive
14,room,positive
14,beds,positive
14,beautiful,positive
14,great,positive
14,pillows,positive
14,blankets,positive
14,headboards,positive
14,etc,positive
14,ipod,positive
14,alarm,positive
14,clock,positive
14,nice,positive
14,21st,positive
14,century,positive
14,touch,positive
14,room,positive
14,great,positive
14,plug,positive
14,ipod,positive
14,listen,positive
14,music,positive
14,get,positive
14,ready,positive
14,night,positive
14,relaxing,positive
14,long,positive
14,day,positive
14,touring,positive
14,chicago,positive
14,view,positive
14,nice,positive
14,bathroom,positive
14,spotless,positive
14,great,positive
14,toiletries,positive
14,another,positive
14,great,positive
14,feature,positive
14,concierge,positive
14,area,positive
14,computers,positive
14,gives,positive
14,access,positive
14,printing,positive
14,boarding,positive
14,pass,positive
14,get,positive
14,airport,positive
14,simply,positive
14,look,positive
14,screen,positive
14,click,positive
14,airline,positive
14,icon,positive
14,following,positive
14,instructions,positive
14,boarding,positive
14,passes,positive
14,minute,positive
14,came,positive
14,handy,positive
14,got,positive
14,ohare,positive
14,able,positive
14,skip,positive
14,long,positive
14,line,positive
14,frustrated,positive
14,passengers,positive
14,hotel,positive
14,1,positive
14,day,positive
14,far,positive
14,one,positive
14,better,positive
14,hotel,positive
14,experiences,positive
14,travel,positive
14,alot,positive
14,business,positive
14,hotel,positive
14,definitely,positive
14,great,positive
14,choice,positive
14,families,positive
14,couples,positive
14,definitely,positive
14,would,positive
14,stay,positive
14,im,positive
14,passing,positive
14,chicago,positive
15,superb,positive
15,hotel,positive
15,rooms,positive
15,huge,positive
15,including,positive
15,luxurious,positive
15,bathroom,positive
15,clean,positive
15,service,positive
15,first,positive
15,rate,positive
15,breakfast,positive
15,excellent,positive
15,complimentary,positive
15,hilton,positive
15,honors,positive
15,members,positive
15,hotel,positive
15,good,positive
15,location,positive
15,connected,positive
15,mall,positive
15,imagine,positive
15,would,positive
15,great,positive
15,asset,positive
15,chicago,positive
15,winter,positive
15,next,positive
15,time,positive
15,go,positive
15,chicago,positive
15,stay,positive
15,sure,positive
16,stayed,positive
16,conrad,positive
16,2,positive
16,nights,positive
16,friends,positive
16,reunion,positive
16,room,positive
16,clean,positive
16,new,positive
16,feeling,positive
16,nice,positive
16,city,positive
16,view,positive
16,free,positive
16,bottled,positive
16,water,positive
16,room,positive
16,upon,positive
16,arrival,positive
16,check,positive
16,breeze,positive
16,room,positive
16,ready,positive
16,even,positive
16,though,positive
16,several,positive
16,hours,positive
16,early,positive
16,staff,positive
16,friendly,positive
16,helpful,positive
16,excellent,positive
16,breakfast,positive
17,conrad,positive
17,hotel,positive
17,beautiful,positive
17,hotel,positive
17,room,positive
17,perfect,positive
17,beautiful,positive
17,every,positive
17,way,positive
17,impressed,positive
17,hard,positive
17,please,positive
17,high,positive
17,standards,positive
17,clean,positive
17,aesthetically,positive
17,pleasing,positive
17,date,positive
17,gorgeous,positive
17,would,positive
17,definitely,positive
17,stay,positive
17,loved,positive
17,location,positive
17,superb,positive
17,attached,positive
17,nordstrom,positive
17,northbridge,positive
17,mall,positive
17,wait,positive
17,go,positive
17,back,positive
18,boyfriend,positive
18,decided,positive
18,stay,positive
18,conrad,positive
18,chicago,positive
18,anniversary,positive
18,second,positive
18,walked,positive
18,immediately,positive
18,look,positive
18,feel,positive
18,room,positive
18,white,positive
18,luxurous,positive
18,bedding,positive
18,king,positive
18,bed,positive
18,plasma,positive
18,v,positive
18,subroofer,positive
18,surround,positive
18,sound,positive
18,speakers,positive
18,boyfriend,positive
18,impressed,positive
18,reminded,positive
18,come,positive
18,chicago,positive
18,hotel,positive
18,room,positive
18,large,positive
18,bathroom,positive
18,w,positive
18,tub,positive
18,separate,positive
18,stand,positive
18,shower,positive
18,granite,positive
18,countertops,positive
18,robes,positive
18,slippers,positive
18,view,positive
18,great,positive
18,6th,positive
18,floor,positive
18,really,positive
18,high,positive
18,enough,positive
18,see,positive
18,anything,positive
18,side,positive
18,building,positive
18,next,positive
18,us,positive
18,large,positive
18,room,positive
18,means,positive
18,go,positive
18,city,positive
18,hotel,positive
18,room,positive
18,prefect,positive
18,size,positive
18,amount,positive
18,time,positive
18,actually,positive
18,room,positive
18,got,positive
18,great,positive
18,rate,positive
18,140,positive
18,hotels,positive
18,com,positive
18,think,positive
18,going,positive
18,rate,positive
18,usually,positive
18,closer,positive
18,mid,positive
18,200,positive
18,stayed,positive
18,quite,positive
18,hotels,positive
18,downtown,positive
18,area,positive
18,none,positive
18,ever,positive
18,impressed,positive
18,one,positive
18,definitely,positive
18,staying,positive
18,next,positive
18,trip,positive
18,city,positive
19,got,positive
19,good,positive
19,deal,positive
19,weekend,positive
19,pacage,positive
19,hotel,positive
19,say,positive
19,nicest,positive
19,stay,positive
19,dozen,positive
19,business,positive
19,trips,positive
19,chicago,positive
19,rooms,positive
19,suites,positive
19,staff,positive
19,friendly,positive
19,professional,positive
19,restaurant,positive
19,world,positive
19,extras,positive
19,like,positive
19,great,positive
19,health,positive
19,club,positive
19,turn,positive
19,service,positive
19,complimentary,positive
19,morning,positive
19,beverages,positive
19,delivered,positive
19,room,positive
19,room,positive
19,clean,positive
19,every,positive
19,need,positive
19,attended,positive
19,without,positive
19,feeling,positive
19,intruded,positive
19,definately,positive
19,stay,positive
20,stayed,positive
20,fairmont,positive
20,nights,positive
20,found,positive
20,whole,positive
20,experience,positive
20,excellent,positive
20,given,positive
20,large,positive
20,room,positive
20,great,positive
20,views,positive
20,city,positive
20,breakfast,positive
20,extremely,positive
20,good,positive
20,location,positive
20,central,positive
20,could,positive
20,wished,positive
20,pool,positive
20,large,positive
20,felt,positive
20,luxurious,positive
20,great,positive
20,early,positive
20,morning,positive
20,swims,positive
20,evening,positive
20,spent,positive
20,time,positive
20,hotel,positive
20,bar,positive
20,friends,positive
20,excellent,positive
20,highly,positive
20,recommended,positive
20,base,positive
20,exploring,positive
20,chicago,positive
21,went,positive
21,chicago,positive
21,see,positive
21,exhibit,positive
21,art,positive
21,institute,positive
21,selected,positive
21,fairmont,positive
21,close,positive
21,although,positive
21,lobby,positive
21,still,positive
21,renovated,positive
21,experience,positive
21,hotel,positive
21,uniformly,positive
21,positive,positive
21,room,positive
21,nicely,positive
21,sized,positive
21,newly,positive
21,remodeled,positive
21,immaculate,positive
21,glitch,positive
21,involved,positive
21,getting,positive
21,room,positive
21,coffee,positive
21,replenished,positive
21,maid,positive
21,bedtime,positive
21,first,positive
21,night,positive
21,still,positive
21,coffee,positive
21,called,positive
21,front,positive
21,desk,positive
21,immediately,positive
21,delivered,positive
21,fresh,positive
21,supply,positive
21,restaurant,positive
21,little,positive
21,underwhelming,positive
21,many,positive
21,places,positive
21,go,positive
21,within,positive
21,blocks,positive
21,probably,positive
21,eaten,positive
21,stayed,positive
21,close,positive
21,dozen,positive
21,different,positive
21,chicago,positive
21,hotels,positive
21,may,positive
21,hotel,positive
21,return,positive
21,whenever,positive
21,return,positive
22,actually,positive
22,booked,positive
22,reservation,positive
22,hotel,positive
22,phone,positive
22,got,positive
22,great,positive
22,rate,positive
22,much,positive
22,lower,positive
22,usual,positive
22,price,positive
22,lovely,positive
22,hotel,positive
22,beautifully,positive
22,appointed,positive
22,walking,positive
22,distance,positive
22,places,positive
22,wanted,positive
22,go,positive
22,would,positive
22,highly,positive
22,recommend,positive
22,fairmont,positive
23,named,positive
23,price,positive
23,priceline,positive
23,50,positive
23,00,positive
23,bucks,positive
23,hotel,positive
23,room,positive
23,great,positive
23,clean,positive
23,clean,positive
23,new,positive
23,fresh,positive
23,crisp,positive
23,sheets,positive
23,comfortable,positive
23,bed,positive
23,flat,positive
23,screen,positive
23,tv,positive
23,clean,positive
23,carpet,positive
23,nice,positive
23,bath,positive
23,etc,positive
23,short,positive
23,distance,positive
23,food,positive
23,sightseeing,positive
23,highly,positive
23,recommend,positive
23,property,positive
23,prepared,positive
23,pay,positive
23,40,positive
23,00,positive
23,per,positive
23,night,positive
23,park,positive
23,hey,positive
23,hyatt,positive
23,also,positive
23,charge,positive
23,5,positive
23,00,positive
23,bottle,positive
23,water,positive
23,normally,positive
23,buck,positive
23,total,positive
23,100,positive
23,00,positive
23,nightly,positive
23,stay,positive
23,chicago,positive
23,place,positive
23,drink,positive
23,bottled,positive
23,water,positive
23,happy,positive
23,travels,positive
24,check,positive
24,fast,positive
24,room,positive
24,perfect,positive
24,problems,positive
24,standard,positive
24,big,positive
24,city,positive
24,business,positive
24,hotel,positive
24,every,positive
24,amenity,positive
24,imaginable,positive
24,got,positive
24,good,positive
24,deal,positive
24,one,positive
24,night,positive
24,stay,positive
24,made,positive
24,money,positive
24,back,positive
24,exorbitant,positive
24,parking,positive
24,rate,positive
24,absurd,positive
24,access,positive
24,fee,positive
24,wireless,positive
24,internet,positive
24,bored,positive
24,routine,positive
24,hotel,positive
24,fare,positive
24,walk,positive
24,two,positive
24,blocks,positive
24,gourmet,positive
24,pantry,positive
24,155,positive
24,n,positive
24,michigan,positive
24,refreshing,positive
24,change,positive
25,arrived,positive
25,06,positive
25,04,positive
25,05,positive
25,greeted,positive
25,friendly,positive
25,doorman,positive
25,zipped,positive
25,5th,positive
25,floor,positive
25,lobby,positive
25,open,positive
25,lobby,positive
25,area,positive
25,friendly,positive
25,reception,positive
25,staff,positive
25,room,positive
25,12th,positive
25,floor,positive
25,nice,positive
25,everything,positive
25,order,positive
25,clean,positive
25,king,positive
25,size,positive
25,bed,positive
25,nice,positive
25,night,positive
25,restful,positive
